key;en;tr;ja;zh_Hans_CN;ru
WEAPON_FIRE_STORM;Fire Storm;Ateş Fırtınası;ファイヤーストーム;火焰风暴;Огненный Шторм
WEAPON_THUNDER_BEAM;Thunder Beam;Gök Gürültüsü Işını;サンダービーム;电击光束;Громовой Луч
WEAPON_ICE_SLASHER;Ice Slasher;Buz Kesici;アイススラッシャー;冰刃;Ледяной Клинок
WEAPON_TIME_SLOW;Time Slow;Zaman Yavaşlatıcı;タイムスロー;时间减缓;Замедление Времени
WEAPON_SUPER_ARM;Super Arm;Süper Kol;スーパーアーム;超级手臂;Супер Рука
WEAPON_HYPER_BOMB;Hyper Bomb;Hiper Bomba;ハイパーボム;超级炸弹;Гипер Бомба
WEAPON_OIL_SLIDER;Oil Slider;Yağ Kaykayı;オイルスライダー;油滑喷射;Нефтяной Шлейф
WEAPON_ROLLING_CUTTER;Rolling Cutter;Yuvarlanan Kesici;ローリングカッター;回转切割;Режущий Диск
WEAPON_MEGA_BUSTER;Mega Buster;Mega Yakalayıcı;ロックバスター;洛克飞弹;Мега Бластер
WEAPON_TIME_STOPPER;Time Stopper;Zaman Durdurucu;タイムストッパー;时间停止;Остановка Времени
WEAPON_AIR_SHOOTER;Air Shooter;Hortum Atıcı;エアーシューター;飓风产生器;Воздушный Заряд
WEAPON_LEAF_SHIELD;Leaf Shield;Yaprak Kalkanı;リーフシールド;树叶护盾;Лиственный Щит
WEAPON_BUBBLE_LEAD;Bubble Lead;Baloncuk Öncü;バブルリード;导向泡泡;Пузырьковый Снаряд
WEAPON_CRASH_BOMBER;Crash Bomber;Kaza Bombası;クラッシュボム;爆破炸弹;Пробивная Бомба
