key;en;tr;ja;zh_Hans_CN;ru
EFFECT_PROJECTILE_ROTATE_ON_SHOOT;Spawns an extra projectile with {1} penetration that rotates around the player when this weapon is fired, dealing {0} times the damage.;Ateş ettiğinde etrafında dönüp silahın {0} kat hasar veren, {1} delmeye sahip bir mermi ortaya çıkarır.;この武器が発射したとき、プレイヤーの周辺に回る、{1} の貫通性能を持つ、{0}倍のダメージを与える追加の弾を発生される。;使用此武器时，将额外生成一颗带有 {1} 的子弹。该子弹围绕玩家旋转，造成 {0} 倍伤害;При выстреле из этого оружия появляется дополнительный снаряд с пробитием {1}, который вращается вокруг игрока, нанося урон, равный {0} раз большему урону.
EFFECT_SIDEWAYS_PROJECTILE_ON_SHOOT;Has a {0}% chance to shoot 2 extra projectiles perpendicular to the original projectile which deal {1} times the original damage when this weapon is fired.;{0}% olasılıkla orijinal mermiye dikey hareket edip {1} kat hasar veren 2 adet mermi ateşler.;この武器が発射したとき {0}% の確率で元の弾の垂直方向に {1}倍のダメージを与える追加の弾が2発発射する;当使用此武器射击时，有 {0}% 的几率额外发射 2 枚与原始弹丸垂直的弹丸，这些弹丸造成的伤害为原始伤害的 {1} 倍;Имеет {0}% шанс выстрелить 2 дополнительными снарядами перпендикулярно исходному снаряду, которые наносят {1} раз больше урона, чем исходный снаряд, при выстреле из этого оружия.
EFFECT_FREEZE_INVULNERABLE;Has a {0}% chance to freeze enemies for {1} second(s). (Bosses and Elites have a {2}% chance of getting frozen instead);{0}% olasılıkla düşmanı {1} saniyeliğine dondurur. (Patron ve Elit düşmanlara karşı olasılık {2}% olur);{0}% の確率で敵を {1} 秒間凍結させる。(ボスとエリートエイリアンに対して確率は {2}%);有 {0}% 的几率使敌人冻结 {1} 秒。 （ 头目和精英有 {2}% 的几率被冻结）;Имеет {0}% шанс заморозить врагов на {1} секунду (боссы и элиты имеют {2}% шанс вместо этого быть замороженными).
EFFECT_TIME_SLOW;Has a {0}% chance to slow the enemies by {1}% for {2} seconds. Up to {3}% on max stacks.;Vurulan düşmanlar {0}% olasılıkla {2} saniyeliğine {1}% yavaşlar. (maks: {3}%);{0}% の確率で敵の移動速度を {2} 秒間 {1}% 低下させる (上限 : {3}%);{0}% 概率使敌人减速{1}%，持续 {2} 秒，最高可减速 {3}%;Имеет {0}% шанс замедлить врагов на {1}% на {2} секунды. Максимально до {3}% при максимальном количестве накоплений.
EFFECT_RELOAD_WHEN_PICKUP_SUPER_ARM_STONE;Killed enemies drop a stone consumable with a {0}% chance. When picked up, the weapon automatically reloads.;Ölen düşmanlar {0}% olasılıkla bir taş düşürür. Taş toplandığında bu silahın bekleme süresi sıfırlanır.;倒した敵が {0}% の確率で石に見える消費アイテムをドロップする。そのアイテムを拾った時、この武器のクールダウンがリセットさせる;击杀敌人后，有 {0}% 的概率掉落一块石制消耗品。拾取后，武器会自动重新装填;Убитые враги с {0}% вероятностью оставляют после себя камень, который можно использовать. При поднятии оружие автоматически перезаряжается.
EFFECT_BOMB_SPAWN;Instead of dealing damage, a bomb will spawn in the projectile's place when it stops and explode in {0} seconds dealing the weapon's damage.;Bu silahın mermisi hasar vermek yerine durduğu yerde {0} saniye içerisinde bir alanı patlatıp hasar veren bir zamanlı bomba ortaya çıkarır.;この武器の弾がダメージを与える代わりに、止まったところで {0} 秒後で武器のダメージを与える爆発する時間爆弾を発生させる。;该武器不会直接造成伤害，当弹道结束时会在停止位置生成一枚炸弹，{0} 秒后爆炸并造成武器基础伤害;Вместо нанесения урона, бомба появляется на месте снаряда, когда он останавливается, и взрывается через {0} секунд, нанося урон, равный урону оружия.
EFFECT_OIL_SLIDER_STRUCTURE_SPAWN;Has a {0}% chance to spawn an oil puddle on hit. Whenever the puddle is touched by the player, they get on an oil skateboard that increases their movement speed by {1}%, makes them invulnerable and deals {2} times the damage as contact damage for {3} seconds.;Vurduğunda {0}% olasılıkla bir yağ birikintisi ortaya çıkarır. Oyuncu yağ birikintisine dokunduğunda {3} saniyeliğine hareket hızını {1}% artıran, dokunulmazlık veren ve düşmana değdiğinde {2} katı hasar veren bir yağ kaykayına biner.;この武器が命中時 {0}% の確率でオイルプールが生成される。このプールがプレイヤーによって触られた時、移動速度を{1}％ 増加する、無敵させる、{2}倍のダメージを与えるオイルスケートに {3} 秒間乗る;有 {0}% 的几率在击中时生成油渍。当玩家接触到油渍时，他们将获得一个油滑板，该滑板可提升其移动速度 {1}%，使其在 {3} 秒内免疫伤害，并造成 {2} 倍的接触伤害。;Имеет {0}% шанс создать нефтяное пятно при ударе. Каждый раз, когда игрок касается пятна, он садится на нефтяной скейтборд, который увеличивает его скорость движения на {1}%, делает его неуязвимым и наносит {2} раза больше урона в виде контактного урона в течение {3} секунд.
EFFECT_ROLLING_CUTTER_BOOMERANG;This weapon is thrown in an elliptical trajectory with a speed of {0}. Its major axis' length is {1} and minor axis' length is {2}.;Bu silah {0} hızıyla fırlatılıp eliptik bir yörünge izler. Büyük ekseninin boyu {1}, küçük ekseninin boyu {2} olur.;この武器は {0} の速度で楕円軌道を描く。軌道の長軸は {1}、短軸は {2}である。;此武器将以{0}的速度沿椭圆轨迹投掷。其长轴长度为{1}，短轴长度为{2}。;Это оружие бросается по эллиптической траектории со скоростью {0}. Длина его большой оси составляет {1}, а малой оси — {2}. 
EFFECT_RADIAL_EXPLOSION;Creates fields around you that deal damage instead of shooting a projectile.;Mermi ateşlemek yerine oyuncunun etrafında hasar veren alanlar oluşturur.;この武器は弾を発射する代わりに敵にダメージを与えるフィールドを発生させる;在角色周围生成伤害力场;Создает вокруг вас поля, которые наносят урон вместо того, чтобы стрелять снарядами.
EFFECT_LIMITED_WEAPON_POOL;You can only equip {0} weapons;Sadece {0} sınıfından silahları kullanabilirsin;{0} クラスの武器のみを装備できる;仅能装备 {0} 级别的武器;Вы можете экипировать только {0} оружия.
